"Date","Price","Open","High","Low","Change %"
"02/09/2023","8.898","9.469","8.898","8.898","1.41%"
"02/08/2023","8.774","8.940","8.774","8.774","0.67%"
"02/07/2023","8.716","8.913","8.716","8.716","3.54%"
"02/06/2023","8.418","8.633","8.418","8.418","-4.94%"
"02/05/2023","8.855","8.855","8.855","8.855","-0.03%"
"02/04/2023","8.858","8.945","8.945","8.858","-0.03%"
"02/03/2023","8.861","9.193","9.309","8.759","1.16%"
"02/02/2023","8.759","8.998","9.119","8.738","-5.77%"
"02/01/2023","9.295","9.607","9.425","9.295","0.22%"
"01/31/2023","9.275","9.868","9.452","9.275","-1.05%"
"01/30/2023","9.373","9.486","9.439","9.373","-0.77%"
"01/29/2023","9.446","9.446","9.446","9.446","-0.41%"
"01/28/2023","9.485","9.485","9.485","9.485","0.68%"
"01/27/2023","9.421","9.607","9.421","9.421","-1.35%"
"01/26/2023","9.550","9.585","9.550","9.550","1.55%"
"01/25/2023","9.404","9.505","9.404","9.404","-0.58%"
"01/24/2023","9.459","9.806","9.459","9.459","-1.63%"
"01/23/2023","9.616","9.795","9.616","9.616","-3.11%"
"01/22/2023","9.925","9.925","9.925","9.925","0.01%"
"01/21/2023","9.924","9.924","9.924","9.924","2.06%"
"01/20/2023","9.724","9.897","9.924","9.724","-1.27%"
"01/19/2023","9.849","9.901","9.849","9.740","-0.65%"
"01/18/2023","9.913","9.884","9.913","9.362","0.79%"
"01/17/2023","9.835","9.912","9.835","9.835","-1.15%"
"01/16/2023","9.949","10.896","9.949","9.949","-3.06%"
"01/14/2023","10.263","10.824","10.824","10.263","-5.27%"
"01/13/2023","10.834","10.684","10.926","10.146","4.62%"
"01/12/2023","10.356","10.541","10.573","10.127","-1.11%"
"01/11/2023","10.472","10.500","10.500","10.351","4.23%"
"01/10/2023","10.047","10.047","10.047","10.047","-3.58%"
"01/09/2023","10.420","10.420","10.420","10.420","8.07%"
"01/08/2023","9.642","9.642","9.642","9.642","-1.82%"
"01/06/2023","9.821","9.934","10.821","9.821","3.81%"
"01/05/2023","9.461","9.461","9.461","9.461","0.18%"
"01/04/2023","9.444","9.444","9.444","9.444","-0.44%"
"01/03/2023","9.486","9.486","9.486","9.486","1.34%"
"01/02/2023","9.361","9.361","10.293","9.361","-5.18%"
"01/01/2023","9.872","9.872","9.872","9.872","-1.93%"
"12/30/2022","10.066","9.775","10.066","10.066","-0.76%"
"12/29/2022","10.143","10.341","10.143","10.143","3.22%"
"12/28/2022","9.827","9.934","9.827","9.827","-3.00%"
"12/27/2022","10.131","10.593","10.131","10.131","1.44%"
"12/26/2022","9.987","60.398","9.987","9.987","1.31%"
"12/25/2022","9.858","9.858","9.858","9.858","-1.71%"
"12/23/2022","10.029","10.261","10.261","10.029","1.71%"
"12/22/2022","9.860","9.860","10.200","9.860","-1.58%"
"12/21/2022","10.018","10.018","10.018","10.018","0.52%"
"12/20/2022","9.966","9.966","9.966","9.966","0.79%"
"12/19/2022","9.888","9.888","10.050","9.888","1.93%"
"12/18/2022","9.701","9.701","9.701","9.701","-2.50%"
"12/16/2022","9.950","9.950","9.950","9.950","-0.68%"
"12/15/2022","10.018","10.257","10.018","10.018","-0.15%"
"12/14/2022","10.033","10.240","10.033","10.033","0.32%"
"12/13/2022","10.001","10.001","10.001","10.001","-1.26%"
"12/12/2022","10.129","10.129","10.129","10.129","0.99%"
"12/09/2022","10.030","10.030","10.030","10.030","-0.30%"
"12/08/2022","10.060","10.060","10.060","10.060","2.31%"
"12/07/2022","9.833","9.833","10.019","9.833","2.53%"
"12/06/2022","9.590","9.590","10.019","9.590","-0.61%"
"12/05/2022","9.649","9.649","9.649","9.649","0.09%"
"12/04/2022","9.640","9.897","9.897","9.640","-2.85%"
"12/03/2022","9.923","9.923","9.923","9.923","-0.08%"
"12/02/2022","9.931","9.931","9.931","9.931","-1.18%"
"12/01/2022","10.050","10.050","10.050","10.050","-4.01%"
"11/30/2022","10.470","10.470","10.470","10.470","5.84%"
"11/29/2022","9.892","10.440","9.892","9.892","0.50%"
"11/28/2022","9.843","10.509","9.843","9.843","-6.01%"
"11/27/2022","10.472","10.472","10.472","10.472","-0.03%"
"11/26/2022","10.475","10.475","10.475","10.475","2.81%"
"11/25/2022","10.189","10.497","10.189","10.189","-1.99%"
"11/24/2022","10.396","10.553","10.396","10.396","-1.35%"
"11/23/2022","10.538","10.528","10.538","10.538","0.36%"
"11/22/2022","10.500","11.000","10.500","10.500","-8.48%"
"11/21/2022","11.473","11.577","11.473","11.473","-4.36%"
"11/20/2022","11.996","11.996","11.996","11.996","0.00%"
"11/19/2022","11.996","11.996","11.996","11.996","0.35%"
"11/18/2022","11.954","12.106","11.954","11.954","-0.31%"
"11/17/2022","11.991","12.300","11.991","11.991","-1.37%"
"11/16/2022","12.157","12.667","12.157","12.157","-1.96%"
"11/15/2022","12.400","12.965","12.400","12.400","-1.14%"
"11/14/2022","12.543","13.230","12.543","12.543","-2.77%"
"11/13/2022","12.900","12.900","12.900","12.900","0.00%"
"11/12/2022","12.900","12.900","12.900","12.900","1.01%"
"11/11/2022","12.771","12.771","12.771","12.771","0.02%"
"11/10/2022","12.769","13.014","12.769","12.769","-1.71%"
"11/09/2022","12.991","13.404","12.991","12.991","-4.48%"
"11/08/2022","13.600","13.628","13.600","13.525","0.03%"
"11/07/2022","13.596","13.483","13.596","13.596","-2.09%"
"11/06/2022","13.886","13.886","13.886","13.886","0.00%"
"11/05/2022","13.886","13.886","13.886","13.886","1.80%"
"11/04/2022","13.640","13.700","13.857","13.640","-0.14%"
"11/03/2022","13.659","13.758","13.758","13.650","4.59%"
"11/02/2022","13.059","13.591","13.650","13.059","-3.39%"
"11/01/2022","13.517","13.517","13.517","13.517","-0.32%"
"10/31/2022","13.561","13.561","13.771","13.561","-0.48%"
"10/29/2022","13.627","13.627","13.627","13.627","0.00%"
"10/28/2022","13.627","13.627","13.732","13.627","-0.76%"
"10/27/2022","13.732","13.732","13.732","13.732","1.71%"
"10/26/2022","13.501","13.501","13.501","13.501","1.10%"
"10/25/2022","13.354","13.297","13.450","13.230","1.12%"
"10/24/2022","13.206","13.206","13.206","13.206","2.02%"
"10/23/2022","12.944","12.944","12.944","12.944","0.11%"
"10/22/2022","12.930","12.930","12.930","12.930","0.28%"
"10/21/2022","12.894","12.992","12.894","12.894","2.33%"
"10/20/2022","12.600","14.250","12.600","12.600","-9.44%"
"10/19/2022","13.914","14.707","13.914","13.914","-5.15%"
"10/18/2022","14.670","14.887","14.670","14.670","-0.39%"
"10/17/2022","14.727","14.850","14.727","14.727","0.68%"
"10/16/2022","14.627","14.627","14.627","14.627","-0.56%"
"10/15/2022","14.710","14.710","14.710","14.710","0.57%"
"10/14/2022","14.627","14.627","14.627","14.627","-0.50%"
"10/13/2022","14.700","14.700","14.700","14.700","-0.67%"
"10/12/2022","14.799","14.799","15.190","14.617","2.39%"
"10/11/2022","14.454","14.454","14.454","14.319","1.14%"
"10/10/2022","14.291","14.291","14.371","14.291","-0.22%"
"10/07/2022","14.323","14.391","14.323","14.323","0.75%"
"10/06/2022","14.217","14.479","14.217","14.217","-0.93%"
"10/05/2022","14.351","14.408","14.351","14.351","1.28%"
"10/04/2022","14.170","14.290","14.170","14.170","1.16%"
"10/03/2022","14.008","14.053","14.066","14.008","-1.93%"
"10/02/2022","14.283","14.283","14.283","14.283","1.49%"
"10/01/2022","14.073","14.128","14.128","14.073","0.26%"
"09/30/2022","14.037","14.037","14.037","14.037","1.77%"
"09/29/2022","13.793","13.793","13.793","13.793","0.75%"
"09/28/2022","13.690","13.690","13.690","13.690","1.10%"
"09/27/2022","13.541","13.541","13.541","13.473","3.27%"
"09/26/2022","13.112","13.112","13.112","13.112","-5.07%"
"09/25/2022","13.812","13.618","13.812","13.618","1.42%"
"09/24/2022","13.618","13.618","13.618","13.618","0.77%"
"09/23/2022","13.514","13.514","13.514","13.514","-1.26%"
"09/22/2022","13.686","14.096","14.014","13.686","-2.45%"
"09/21/2022","14.030","13.960","14.030","14.030","0.26%"
"09/20/2022","13.994","14.182","14.087","13.994","-8.24%"
"09/19/2022","15.251","14.210","15.251","13.947","7.85%"
"09/17/2022","14.141","14.141","14.141","14.141","1.86%"
"09/16/2022","13.883","14.198","13.883","13.883","0.25%"
"09/15/2022","13.849","14.049","13.849","13.849","0.17%"
"09/14/2022","13.825","14.045","13.825","13.825","-1.85%"
"09/13/2022","14.086","14.140","14.143","14.086","1.18%"
"09/12/2022","13.922","14.140","13.922","13.922","-2.54%"
"09/11/2022","14.285","14.285","14.285","14.285","1.21%"
"09/10/2022","14.114","14.114","14.114","14.114","0.43%"
"09/09/2022","14.054","14.250","14.054","14.054","0.69%"
"09/08/2022","13.958","14.248","14.196","13.958","-3.48%"
"09/07/2022","14.462","14.632","14.462","14.462","3.11%"
"09/06/2022","14.026","14.026","14.026","14.026","-4.91%"
"09/05/2022","14.750","14.750","14.750","14.750","2.08%"
